Word,Count,,,,Red,,,White,,,Yellow,,,Blue,,,Black,,,Green,,,Purple,
red,13,,,,red,13,,white,9,,golden,3,,blueveind,1,,black,2,,green,4,,purple,2
blood,10,,,,blood,10,,pale,8,,gold,3,,blue,1,,coalblack,1,,verdure,1,,purplecolourd,1
white,9,,,,rose,3,,silver,5,,,,,,,,blackfacd,1,,,,,violets,1
pale,8,,,,crimson,2,,doves,4,,,,,,,,,,,,,,violet,1
silver,5,,,,bloody,2,,ivory,2,,,,,,,,,,,,,,,
doves,4,,,,rosecheekd,1,,snow,2,,,,,,,,,,,,,,,
green,4,,,,roses,1,,frosty,1,,,,,,,,,,,,,,,
golden,3,,,,blushd,1,,ashypale,1,,,,,,,,,,,,,,,
rose,3,,,,redrose,1,,alabaster,1,,,,,,,,,,,,,,,
gold,3,,,,rubycolourd,1,,whiter,1,,,,,,,,,,,,,,,
crimson,2,,,,waxred,1,,frozen,1,,,,,,,,,,,,,,,
ivory,2,,,,plum,1,,palefacd,1,,,,,,,,,,,,,,,
snow,2,,,,coral,1,,coldpale,1,,,,,,,,,,,,,,,
black,2,,,,blush,1,,frothy,1,,,,,,,,,,,,,,,
bloody,2,,,,blushing,1,,milk,1,,,,,,,,,,,,,,,
purple,2,,,,,,,whiteness,1,,,,,,,,,,,,,,,
purplecolourd,1,,,,,,,,,,,,,,,,,,,,,,,
rosecheekd,1,,,,,,,,,,,,,,,,,,,,,,,
roses,1,,,Totals,Red,40,,White,40,,Yellow,6,,Blue,2,,Black,4,,Green,5,,Purple,5
blushd,1,,,,,,,,,,,,,,,,,,,,,,,
frosty,1,,,,,,,,,,,,,,,,,,,,,,,
ashypale,1,,,,,,,,,,,,,,,,,,,,,,,
redrose,1,,,,,,,,,,,,,,,,,,,,,,,
blueveind,1,,,,,,,,,,,,,,,,,,,,,,,
violets,1,,,,,,,,,,,,,,,,,,,,,,,
primrose,1,,,,,,,,,,,,,,,,,,,,,,,
alabaster,1,,,,,,,,,,,,,,,,,,,,,,,
whiter,1,,,,,,,,,,,,,,,,,,,,,,,
rubycolourd,1,,,,,,,,,,,,,,,,,,,,,,,
blue,1,,,,,,,,,,,,,,,,,,,,,,,
verdure,1,,,,,,,,,,,,,,,,,,,,,,,
waxred,1,,,,,,,,,,,,,,,,,,,,,,,
plum,1,,,,,,,,,,,,,,,,,,,,,,,
coalblack,1,,,,,,,,,,,,,,,,,,,,,,,
coral,1,,,,,,,,,,,,,,,,,,,,,,,
blush,1,,,,,,,,,,,,,,,,,,,,,,,
frozen,1,,,,,,,,,,,,,,,,,,,,,,,
palefacd,1,,,,,,,,,,,,,,,,,,,,,,,
blushing,1,,,,,,,,,,,,,,,,,,,,,,,
blackfacd,1,,,,,,,,,,,,,,,,,,,,,,,
coldpale,1,,,,,,,,,,,,,,,,,,,,,,,
frothy,1,,,,,,,,,,,,,,,,,,,,,,,
milk,1,,,,,,,,,,,,,,,,,,,,,,,
violet,1,,,,,,,,,,,,,,,,,,,,,,,
whiteness,1,,,,,,,,,,,,,,,,,,,,,,,
